index,familia,latin name,migrant,portugues,english,iucn,mma,description
80,Scolopacidae,Calidris canutus,MGT,ma�arico-de-papo-vermelho,Red Knot,,CR," breeds in the Canadian Arctic. It gathers in great numbers in Delaware Bay, USA and migrates southwards, reaching the Brazilian coast, as well as Tierra del Fuego and Patagonia, where it stays during the non-breeding season. Some individuals may overwinter in French Guiana or Venezuela (van Gils & Wiersma, 1996; Baker et al., 2005). After leaving the breeding area, the species flies south crossing over or stopping in the mid-Atlantic coast of the USA and on the Antilles, before reaching Brazil. One individual with a geolocator overwintered on the northern coast of Brazil, on the border between MA and PA. Another went south through MA and overwintered around 1,100 km east, and a third one stopped in MA for 12 days and then stopped again at Lagoa dos Patos/RS and went on to overwinter in Argentina. The return flight of this last individual was through the Pantanal (Niles et al., 2010). Population peaks are recorded in the Gulf of Maranh�o: a large number of individuals arrive during fall migration from September to November (Carvalho & Rodrigues, 2011) and during spring migration from March to May, which suggests transoceanic flights from the coast of MA to North America (Rodrigues, 2000). In RS, over 20,000 individuals were seen using the Lagoa do Peixe National Park and the Pinhal region as stopover grounds during their migration north. Banding data suggests that the flight between the southern coast of Brazil and Midwestern USA is a direct one (Harrington et al., 1986) that lasts approximately 13 days � 7,600 km (Sick, 1997). Ilha Comprida/SP is also a stopover site used for resting and feeding during the return migration (Barbieri & Paes, 2008), as well as the mangroves from Mangue Seco/BA, where the species was recorded in mid-April (Lima, 2006). There are recent photographic records for almost all coastal states and they are centered on the period between September and April (WikiAves, 2016)."
81,Scolopacidae,Calidris alba,MGT,ma�arico-branco,Sanderling,,," breeds in the northern Arctic. Its wintering area extends from California to northern Chile on the Pacific and from the north coast of Brazil to Argentina on the Atlantic (Antas, 1987). It is one of the species that flies the longest distance during migration: around 20,000 km from the Arctic to RJ, and then more 5,000 km to Tierra del Fuego (Sick, 1997). During fall migration from September to November, the species reaches the coast of Guyana and then migrates to the Gulf of Maranh�o, from where it leaves to perform transoceanic flights back to North America during spring migration from March to May (Rodrigues, 2000). Most individuals that overwinter (from December to February) in Peru and Chile perform a continental clockwise flight by migrating north along the Pacific coast and returning south along the Atlantic coast. There are three main flyways for its return across North America: (a) through the Pacific coast, (b) through the Gulf of Mexico and Great Lakes region, and (c) through the Atlantic coast (Myers et al., 1985). The species exhibits fidelity to Coroa do Avi�o/ PE, where recovered individuals show the link between migratory sites in PE and Lagoa do Peixe/RS, MA and the USA through field-readable colored bands (Lyra-Neves et al., 2004). There are records from October to December for Marchantaria Island/AM and for the area surrounding the Solim�es River (Stotz et al., 1992). During both migrations north and south, it is present in large quantities in Ilha Comprida/SP, a stopover ground used for resting and feeding (Barbieri & Paes, 2008). Beaches in RS were recognized as the most important wintering areas for this species on the Atlantic coast of South America (Morrison & Ross, 1989). There are records all year round for Lagoa do Peixe/RS, approaching 6,000 individuals in November/December (Belton, 1994). There are recent records for all coastal states, as well as some occasional ones in GO, MG and AM. Most records are from September to April, although the species can be found throughout the year in Brazil (WikiAves, 2016). Some individuals remain in the wintering areas in South America during the breeding season from June to July (Myers et al., 1985; van Gils & Wiersma, 1996),"
83,Scolopacidae,Calidris pusilla,MGT,ma�arico-rasteirinho,Semipalmated Sandpiper,NT,EN," breeds in northern Canada and Alaska, and overwinters mainly in South America (Gratto-Trevor & Dickson, 1994). It flies non-stop for as long as 4,000 km and is known to form flocks of 350,000 individuals. The species presents high fidelity to its breeding sites, but little is known about its wintering areas. Around 2/3 of the juveniles remain in non-breeding areas throughout the year (van Gils & Wiersma, 1996). Long-distance migration between the wintering area in the Southern Hemisphere and the breeding area in high latitudes from the Northern Hemisphere are interspersed with long stopover periods for energy storing, especially in Delaware Bay on the east coast of the USA, where it usually begins to arrive in early May and remains until early June (Mizrahi et al., 2012). In the Amazonian region, there are records throughout the year for PA and AP (Stotz et al., 1992; Campos et al., 2008; WikiAves, 2016) with a population peak in AP in November and December (Campos et al., 2008). There are recent records in all coastal states (WikiAves, 2016). It is recorded all year round in PE, CE and MA and there are population peaks on Caranguejo Island/MA during the fall migration from September to November due to the arrival in northern Brazil of migrants originating from stopover sites in northern South America (Carvalho & Rodrigues, 2011; WikiAves, 2016). The species can be observed in other states in northeastern Brazil (PI, CE, RN, PB, PE, AL, SE and BA) from August to April (Azevedo-J�nior et al., 2001; Cardoso & Nascimento, 2007; Cardoso & Zappelini, 2011; WikiAves, 2016; MZUSP; MPEG; MNRJ). There are population peaks between November and February in SE (Almeida & Ferrari, 2010) and in March in the Pia�abu�u Environmental Protection Area/AL (Cabral et al., 2006). It is also recorded from August to April for the states in the southeastern and southern regions (WikiAves, 2016; MZUSP)."
84,Scolopacidae,Calidris minutilla,MGT,ma�ariquinho,Least Sandpiper,,," breeds from Alaska to Quebec, including Newfoundland and Nova Scotia, and migrates through inland North America, reaching the southern USA, Antilles, Gulf of Mexico and northeastern South America (van Gils & Wiersma, 1996). Migration between the wintering area in the Southern Hemisphere and the breeding area is interspersed with long stopover periods for energy storing, especially in Delaware Bay on the eastern coast of the USA, where they start arriving in mid-April and depart from around the third week of May (Mizrahi et al., 2012). There are records from August to April in the Amazonian region for AM, RR, AP and PA (Stotz et al., 1992; Campos et al., 2008; Cintra & Rosas, 2011; Cintra et al., 2011; Santos et al., 2011; Silva, 2011a, b; Valente, 2011; WikiAves, 2016), as well as for MA, PI, CE, RN, PB, PE, AL, SE and BA on the northeastern coast (Sick, 1997; Albano & Gir�o, 2011; Azevedo-J�nior & Larraz�bal, 2011a; Cardoso & Zappelini, 2011; Gir�o & Albano, 2011a; Irusta & Sagot-Martin, 2011; Santos, 2011; Serrano, 2011; WikiAves, 2016) and for the coast of RJ, SP, SC and RS (Crozariol, 2011; Santos & Alves, 2011; WikiAves, 2016). It was recorded in September for MT (Cintra, 2011; d�Horta, 2011) and in May for AP (MPEG)."
85,Scolopacidae,Calidris fuscicollis,MGT,ma�arico-de-sobre-branco,White-rumped Sandpiper,,," breeds in the Canadian Arctic and migrates to wintering areas in Patagonia. It flies from northeastern North America over the Atlantic Ocean to northern South America and reaches the Guianas in late August, where they remain until mid-September. It moves gradually through the northern coast of South America to areas southeast of the mouth of the Amazon River, when it enters the continent and flies for approximately one month until it reaches Paraguay and RS between mid and late October (Harrington et al., 1991). Some individuals remain during the entire summer in this locality and there are peaks of nearly 7,000 individuals in November and December in Lagoa do Peixe/RS (Belton, 1994), but the main non-breeding area for this species is in southern Argentina and Chile, where it arrives in mid-September, October and November. During its migration to the most meridional regions of South America, it can fly over the Amazon Basin and other humid areas in the country � using the Pantanal as a stopover area (Nunes & Tomas, 2008) � before it reaches Lagoa do Peixe/RS and Tierra del Fuego in Argentina (Barbieri & Paes, 2008). Spring migration starts in late March and early April and seems to be done in long flights. Eventually, it uses Ilha Comprida/ SP as a stopover ground for resting and feeding (Barbieri & Paes, 2008) on its way to North America, where it likely stops to obtain enough fat reserves to accomplish a direct flight to the Canadian Arctic between late May and mid-June, and then breed (Harrington et al., 1991). There are records centered in the period between August and May for almost all states in Brazil that are scarce in June and July and restricted to BA, SC and RS (WikiAves, 2016), probably represented by young non-breeding individuals, since some one-year-old shorebirds mostly stay on wintering grounds through their first summer (Cristol et al., 1999). There is also one museum record for SP in June (MZUSP 2094)."
86,Scolopacidae,Calidris bairdii,MGT,ma�arico-de-bico-fino,Baird's Sandpiper,,," breeds in northern North America, departs in mid-August from its breeding grounds to winter in South America, and returns in late June (Steeves & Holohan, 1995). Its migration occurs especially through the inland, through grasslands in North America, the Rocky Mountains and Andes. Females depart first and are followed by the young (van Gils & Wiersma, 1996). Two individuals banded in the USA and Canada were recovered in the estuary of the Amazon River in January and April (Sick, 1997) and there are also other records for this locality in September (Melo et al., 2011; Santos et al., 2011). There is evidence that this species uses the Pantanal as a stopover site (Nunes & Tomas, 2008). Photographic records are restricted to RS, where it is recorded between September and April (Belton, 1984; Dias, 2011; WikiAves, 2016). There is just one museum record for SP in May (MZUSP 102373)."
87,Scolopacidae,Calidris melanotos,MGT,ma�arico-de-colete,Pectoral Sandpiper,,," breeds on the northern coast of North America, from western and northern Alaska to northern central Canada, to Hudson Bay, as well as in northwestern Siberia. It migrates south during winter and reaches from southern Bolivia, Paraguay and northern Argentina to southern South America and southeastern Australia and New Zealand (van Gils & Wiersma, 1996). Its migration seems to be elliptic because it moves south over the western Atlantic Ocean and returns through central regions of North America. Its wintering area includes the entire Pantanal (Nunes & Tomas, 2008) and the area south of it, which makes this the second most numerous Nearctic shorebird species in a census taken in these plains (Morrison et al., 2008). There are photographic records for almost all of Brazil, but records for the northeastern region are quite scarce and restricted to September, October and February. Records in the Amazonian region are restricted to the period between August and December and those in the southeastern and southern regions are distributed from September to April (WikiAves, 2016). Museum records are distributed irregularly across several states but restricted to the period between August and November (MZUSP; MNRJ, MPEG)."
88,Scolopacidae,Calidris himantopus,MGT,ma�arico-pernilongo,Stilt Sandpiper,,," breeds in northern Alaska east to Victoria Island and west and south to Hudson Bay in Canada. It migrates to South America (northern Chile, Bolivia, Brazil, northern Argentina and Uruguay) in winter and small populations winter in southern USA (van Gils & Wiersma, 1996). Its flyway seems to go from Venezuela straight to the Upper Amazon and Central Brazil, reaching the Atlantic coast in RS (Sick, 1997). Females start migrating from the second week of July on, males start a week after, and juveniles only in mid-August. The return flight is over the coast of Colombia and Venezuela. It reaches the USA in April and the breeding areas in Canada in late May. Males arrive two days before females. Some individuals remain in the wintering areas all year round, but they usually migrate in groups as large as hundreds of individuals (van Gils et al., 2016c). In Brazil, records are centered in the period between September and April and show the presence of this species in Amazonian regions � AM, PA and RO (WikiAves, 2016; MZUSP; MPEG) � in southeastern and southern Brazil � RJ, SP, PR, SC and RS �, in the Pantanal � MT and MS �, and in CE, RN and PE in northeastern Brazil (WikiAves, 2016)."
90,Scolopacidae,Calidris subruficollis,MGT,ma�arico-acanelado,Buff-breasted Sandpiper,NT,VU," breeds in the central and western Arctic and migrates from late July to mid-September to wintering areas in the Southern Hemisphere, which are located mainly in the Pampas in Argentina and Uruguay. In general, it flies non-stop through inland North America and coastal Canadian provinces, crosses the Gulf of Mexico and flies as far as northern South America. It moves inside the continent and has wintering areas in southeastern Bolivia, Paraguay, southern Brazil and northern Argentina (Piersma et al., 1996). The migration south is probably non-stop and adults depart before juveniles. Some individuals fly over Hudson Bay in Canada and the region of the Great Lakes, and then cross the Atlantic heading south (van Gils et al., 2016d). Its main wintering area is on the coast of the La Plata River in the eastern Pampas in Argentina, adjacent to the large lagoon complexes in Uruguay and RS in Brazil. The migration north starts between February and March and is through the central region of South America, across the Gulf of Mexico and central USA and Canada, before reaching the coast of the Arctic in April-May (Lanctot et al., 2010). In Brazil, there are records between September and April for AC, RO, PA northern Pantanal (MT), and for RJ, SP, PR, SC and RS in (WikiAves, 2016; MPEG; MZUSP)."
91,Scolopacidae,Phalaropus tricolor,MGT,pisa-n'�gua,Wilson's Phalarope,,," breeds in southern Canada and northern USA from May to June and overwinters from northern Peru to Uruguay, reaching as far as Tierra del Fuego. After breeding, adults migrate to the hypersaline Great Lakes in western North America attracted by food abundance for molting and weight gain. Females migrate in mid-June before males, which migrate before juveniles. The species crosses the Pacific and reaches the western coast of South America as far as the Andes. Its main wintering areas are in Bolivia, Chile and Argentina. It returns through high elevations in South America in mid-March, Central America and the Gulf of Mexico. It reaches its breeding areas in late April/early May. It migrates usually at night and in large groups (van Gils & Wiersma, 1996). This species is present in Brazil between August and May in GO, MT, MS, MG, RJ, SP, PR, SC and RS, and there is a unique record for MS in July (WikiAves, 2016)."
92,Stercorariidae,,MGT,,,,,
93,Stercorariidae,Stercorarius skua,MGT,mandri�o-grande,Great Skua,,," breeds in northern and eastern Europe and overwinters on the coast of the Iberian Peninsula, Cape Verde, Caribbean and northern Brazil and one small group overwinters in Grand Banks/Newfoundland, Canada. This species departs from its breeding areas in August-September, heading south. It overwinters mainly in open sea and its return migration is between March and April. Immature individuals eventually remain in the south during the breeding season (Furness, 2016). In RS, there are records of ill or dead individuals in the open sea or occasionally along beaches in April, July and August (Belton, 1994). There are reports of individuals banded in Europe without confirmed dates that were recovered in MA in February and in CE and PI in March (Sick, 1997). Museum records are restricted to PA in December and January (MPEG) and to SP in August (MZUSP)."
94,Stercorariidae,Stercorarius chilensis,MGT,mandri�o-chileno,Chilean Skua,,," its movement is little known, but it seems to fly north after breeding on islands and remote coastal areas in Chile and Argentina, reaching southern Peru and possibly to the east as far as west of the Malvinas/Falklands (Furness, 1996). It is considered a winter visitor in Brazil (Furness, 1996) and there are few records published for the country (Olmos et al., 2006), for SC in July, September and November (Piacentini et al., 2005) and many others without accurate locality for BA, ES, RJ, SP and RS (Olmos et al., 2006; Grantsau, 2010). The abundance of records in WikiAves, which are centered in the period between June and September, suggests a regular presence of this species in the country, especially in RS and SC; there are also records for PR, SP and ES (WikiAves, 2016)."
95,Stercorariidae,Stercorarius maccormicki,MGT,mandri�o-do-sul,South Polar Skua,,," nests in Antarctica, leaves the colonies in March and returns in October-November (Furness, 1996). In general, it flies towards the North Atlantic through the African coast. Adults seem to remain near the colonies, but there are records of some juveniles performing long migrations (Olmos et al., 2006). This species occurs in Brazil mainly during the non-breeding season and there are photographic records for MA in December, RN in October, SE in September and May, and for BA from September to November, as well as from April to June (WikiAves, 2016). There are also records for SP in May (MZUSP 102643), August and November, PR in May, SC in July, August and November, and for RS in April (WikiAves, 2016)."
96,Stercorariidae,Stercorarius antarcticus,MGT,mandri�o-ant�rtico,Brown Skua,,," occurs below the Tropic of Capricorn on southern seas and reaches Tierra del Fuego, the Antarctic Peninsula and New Zealand. The subspecies S. a. antarcticus is more frequent in Brazil; it breeds on the Malvinas/Falklands and in southeastern Argentina and overwinters in the open sea in southeastern South America (Furness, 1996). Individuals from the subspecies S. a. lonnbergi, which breed on the islands of the Austral Ocean, in the Antarctic Peninsula and islands south of New Zealand, were recovered in RS, SC, PE, AL and CE (Sick, 1997; Olmos, 2002a). Most populations probably remain near their breeding areas, but especially those located more to the south are considered migratory (Olmos et al., 2006). Photographic records for Brazil are centered in the winter and they document the species� presence in BA in May, PR in June and September, SC in August and RS between June and October (WikiAves, 2016) and occasionally on the coast of MA (Hurtado et al., 2012)."
97,Stercorariidae,Stercorarius pomarinus,MGT,mandri�o-pomarino,Pomarine Jaeger,,," nests in the tundra between Greenland, Canada, Alaska, Siberia, northern Russia and extreme northern Scandinavia (Olmos et al., 2006). After breeding, it begins long transequatorial migrations mainly in September to overwinter in low latitude seas especially in the Northern Hemisphere. It returns in May, usually in smaller flocks (Furness, 1996). In Brazil, there are records for PA, SP and RS (Olmos, 2000c) and photographic records for the coast between SE and RS, as well as for PA, MA, PI and RN, which are centered in the period from September to May (WikiAves, 2016)."
98,Stercorariidae,Stercorarius parasiticus,MGT,mandri�o-paras�tico,Parasitic Jaeger,,," breeds in the Arctic, in the coastal tundra region, primarily between 57�N and 80�N. It overwinters on oceans in the Southern Hemisphere, especially near the coast of South America, southern Africa, southern Australia and New Zealand. It is mostly a transequatorial migrant and few individuals overwinter in the Northern Hemisphere. It departs from the colony in August flying south along the coast. The return journey is quick and happens between April and May (Furness, 1996). On the Brazilian coast, particularly in RJ, it occurs in larger numbers in January, but there are records from March to May and from September to December. One individual banded as a chick in Finland was recovered in RJ in June and another banded in Scotland was recovered in AL in May (Sick, 1997). The species occurs regularly on the coast of SC, and although most records and most individuals are from November to April (Piacentini et al., 2005), there are occasional records throughout the year, which also happens in RS (Belton, 1994; WikiAves, 2016). For all other states (PA, MA, PI, CE, RB, BA, ES, RJ, SP and PR), records are restricted to the period between September and May (WikiAves, 2016; MZUSP)."
99,Stercorariidae,Stercorarius longicaudus,MGT,mandri�o-de-cauda-comprida,Long-tailed Jaeger,,," nests on the central region of Scandinavia, Siberia, Alaska and Greenland, and there are occasional records for Scotland and Spitsbergen (Olmos et al., 2006). This species is a highly pelagic transequatorial migrant that moves south between August and October and returns to the Northern Hemisphere between April and May (Furness, 1996). Its flyways and wintering grounds are little known (Furness et al., 2016), but there are records for Brazil for SE, BA, SP, SC and RS between October and April (Belton, 1994; WikiAves, 2016)."
101,Laridae,,MGT,,,,,
102,Laridae,Leucophaeus atricilla,MGT,gaivota-alegre,Laughing Gull,,," breeds in northern USA and southern Canada and migrates to South America. It overwinters from Mexico to southern Peru on the Pacific coast and from North Carolina to Brazil on the Atlantic coast (Burger et al., 2016). In Brazil, it occurs from the mouth of the Amazon River to the bay of S�o Marcos/ MA (Antas, 1987) Although its typical distribution on the Brazilian coast is in AP, PA and MA, there are also records for AM, CE, RJ, SP (Lima et al., 2010) and Trindade Island (Dias et al., 2010a). In the Amazonian region, records are for AP from August to April and for PA from September to July (Valente, 2011; Xavier & Boss, 2011; WikiAves, 2016; MPEG). In the Northeast region, it occurs in MA in almost every month of the year (Rodrigues & Carvalho, 2011b; WikiAves, 2016) and in CE, PI, RN and BA from September to May (Albano & Gir�o, 2011; Gir�o & Albano, 2011a, b; WikiAves, 2016), but there are also records of what probably are juveniles for CE and RN in July (WikiAves, 2016). For RJ and SP, there are few records in January, April and November (WikiAves, 2016) and for RS, the species was recorded in January and July (Sick, 1997; WikiAves, 2016)."
103,Laridae,Larus atlanticus,MGT,gaivota-de-rabo-preto,Olrog's Gull,NT,," occurs from southeastern Uruguay to Argentina, where it breeds (Grantsau, 2010). An estimated number of 150 individuals overwinter annually in RS and they occupy sparsely the oceanic coast and the estuary from Lagoa dos Patos, where at most 50 individuals occur regularly between April and August (FZBRS, 2013). Although records are centered in the period between April and August, there are occasional records from September to November, February and March (WikiAves, 2016). The species also occurs in SC (Burger et al., 2016) in June and August (WikiAves, 2016) and PR in April and June (Pacheco et al., 2009; WikiAves, 2016)."
104,Sternidae,,MGT,,,,,
105,Sternidae,Onychoprion fuscatus,MGT,trinta-r�is-das-rocas,Sooty Tern,,," occurs on tropical and subtropical seas and is widely distributed on all oceans. As soon as chicks fly, all birds depart from the colony; adults return after 2-3 months at sea and use the colony as a roost before beginning a new breeding cycle (Gochfeld et al., 2016a). The subspecies O. f. fuscatus is the only one that occurs in Brazil and it breeds in the USA, in islands in the Gulf of Guinea and in the South Atlantic (Gochfeld & Burger, 1996). In Brazil, it breeds between September and March in Fernando de Noronha/PE, Trindade/ES, Atol das Rocas/RN, Abrolhos/BA, Ilha Guarita/BA and Martin Vaz/ES (Sick, 1997; Alves et al., 2004; Fonseca-Neto, 2004). Specimens were collected at BA in March and July (Lima, 2006; MZUSP) and at ES in January, April and December (MZUSP)."
106,Sternidae,Chlidonias niger,MGT,trinta-r�is-negro,Black Tern,,," breeds in continental regions in Europe, Asia and North America, and it migrates through the coast of both the Pacific and Atlantic to overwinter on the coast of Africa and of Central and South America (Burger & Gochfeld, 1996). In Brazil, there are records of one individual recovered in Macau/RN in September 1986 that had been banded in Berlin (Germany), one individual in nuptial plumage in RS in June (Belton, 1994), and records for CE in October (Albano & Gir�o, 2011). Several records for CE, MA and RS centered in the period between September and February (WikiAves, 2016) suggest that Brazil is an important wintering destination for this species."
107,Sternidae,Sterna hirundo,MGT,trinta-r�is-boreal,Common Tern,,," breeds in North America, Eurasia and the southern Caribbean from April to August. It migrates from late August to October to Santa Cruz Province in Argentina through the Atlantic Ocean, and to Peru through the Pacific Ocean. It returns in mid-March and April (Cordeiro et al., 1996; Gochfeld et al., 2016b). The population that overwinters in Brazil originates from breeding colonies on the east coast of the USA and Canada, as well as from the Great Lakes in North America. Adults reach the northern coast of Brazil around late September and fly over the Caribbean and Guianas before the young. There are population peaks between October and November, and it is in November that this species flies south through the inland northeastern region of Brazil, as far as RS, along the Atlantic coast (Hays et al., 1997), as found through statistical analyses (Mestre, 2007). Breeding adults return in March/April (Hays et al., 1997), but immature individuals or those that cannot breed may remain (Antas, 1987). Individuals banded on the Portuguese islands of Azores and in southern Spain between April and July were recovered mainly on the coast of BA, but also in CE and PE, between December and May (Lima et al., 2005; Mestre et al., 2010). The largest gatherings of individuals of this species in Brazil are in BA and RS (within which Lagoa do Peixe is an important site for resting, molting and weight gain) (Nascimento & Santos, 2010), with peaks of up to 14,000 individuals recorded in January and February (Belton, 1994). Individuals banded in Argentina and in southern Brazil were recovered on the coast of BA, which suggests that there are stopover grounds on the coast of Brazil used during the migration north (Lima et al., 2005). Although there are records from the entire Brazilian coast throughout the year, they are centered in the period of September to April (Wikiaves, 2016; MZUSP; MPEG; MNRJ)."
108,Sternidae,Sterna dougallii,MGT,trinta-r�is-r�seo,Roseate Tern,,VU," breeds in areas in the Northern Hemisphere � North and Central America, Azores, Great Britain, Sri Lanka and islands in the North Pacific � and migrates south during winter. It is resident on oceanic islands and small regions in the northern coast of South America, Africa, Arabia, Asia and Oceania (Gochfeld & Burger, 1996). The population that overwinters in Brazil originates mainly from breeding colonies on the east coast of the USA and Canada, as well as on the Great Lakes in North America (Antas, 1987). Individuals banded in North and Central America in June and July were recovered in Brazil in 11 states from the coast of AP to northern ES, especially between December and February (Mestre et al., 2010). Tavares et al. (2013) suggest that this species is a regular migrant in northern RJ. It also seems to use a transatlantic flyway, as shown by an individual banded in Mangue Seco/BA that was recovered in a breeding colony in Azores and another one banded in England recovered in Mangue Seco (Lima et al., 2001a). Museum records are restricted to BA in August, February and March (MZUSP)."
109,Sternidae,Sterna paradisaea,MGT,trinta-r�is-�rtico,Arctic Tern,,," breeds from May to July in septentrional zones of the Holarctic and flies along the Brazilian coast when migrating to Antarctica to overwinter. When migrating south, the North American population follows the Gulf Stream as far as Europe and then flies south along the African coast, crossing once again the Atlantic at the level of the current of Guinea (Antas, 1987). Recent geolocation studies showed that this species is able to travel more than 80,000 km in one year. Eleven individuals were attached with geolocators in Greenland, seven of which used flyways that were parallel to the African coast and four that went along the east coast of Brazil (Gochfeld et al., 2016c). All birds remained in the Atlantic sector of the Antarctic Ocean at latitude 58�S from December to March (Gochfeld et al., 2016c). Individuals banded in the USA were recovered in Brazil in BA in July and August, RJ in March, SC in November and RS in December (Belton, 1994; Sick, 1997; Lima et al., 2004c; Gir�o et al., 2008). Photographic records suggest the scarce presence of the species on the entire Brazilian coast from Maraj� Island/PA to RS, especially from September to April (WikiAves, 2016)."
110,Cuculidae,,MGT,,,,,
111,Cuculidae,Micrococcyx cinereus,MGT,papa-lagarta-cinzento,Ash-colored Cuckoo,,," occurs in Bolivia, Uruguay, northern Argentina and Brazil and is migratory at the extreme south of its distribution (Payne, 1997), with records for the Brazilian Amazon associated with migrants that originated in the south (Sick, 1997). It seems that this species breeds in southern and southwestern Brazil and migrates north during winter (Payne & Bonan, 2013). Records of breeding activity for RS in November, combined with a lack of records for the south during colder months from May to July in SC and RS (Belton, 1994; WikiAves, 2016), seem to confirm the migratory pattern. In other states � AC, RO, PA, TO, MT, MS, GO, CE, RN, PB, AL, SE, BA and SP � records are scarcely distributed throughout the year (Lyra-Neves et al., 2012; WikiAves, 2016; MPEG; MZUSP)."
112,Cuculidae,Coccyzus melacoryphus,MGT,papa-lagarta,Dark-billed Cuckoo,,," occurs from northern South America to Bolivia, Paraguay, Argentina and all of Brazil (Sick, 1997). There is a lack of data about its migratory pattern, but it seems to be a migrant, especially in the extreme south of its entire distribution (Payne, 1997). In southern and southeastern Brazil � MG, ES, RJ, SP, PR, SC and RS � photographic and museum records are centered in the period of October and April (MZUSP; MNRJ; MPEG; WikiAves, 2016. However, in northern, northeastern and central-western Brazil, although there are records sparsely all over the year, it seems to be concentrated between January and September (MZUSP; MNRJ; MPEG; WikiAves, 2016. Breeds in BA and RS (Maur�cio et al., 2013; WikiAves, 2016."
113,Cuculidae,Coccyzus americanus,MGT,papa-lagarta-de-asa-vermelha,Yellow-billed Cuckoo,,," breeds in North and Central America and flies at night during fall to the Antilles and Bahamas (2,000-3,000 km) from where it moves south in non-stop flights of over 4,000 km to wintering grounds in South America. Its migration occurs during the night mainly across the ocean, though it also flies over the continent. This species overwinters east of the Andes, from Colombia and Venezuela to Brazil (MT), Uruguay and Argentina (Payne, 1997), and reaches Brazil during boreal winter (Sick, 1997). Geolocation data showed that one individual flew around 9,500 km during its migration south through Central America to overwinter in Bolivia, Brazil, Paraguay and Argentina. Its spring flyway went over the Caribbean, which was different from its fall flyway. In addition, it also flew round-trip between New Mexico and Mexico at the end of the summer during both years it was monitored before it was captured at the breeding site (Sechrist et al., 2012). In Brazil, except for SP where it seems to be recorded all year round (Crozariol, 2011), its occurrence is limited to November until May in almost all states (Belton, 1984; Fedrizzi & Carlos, 2011; Melo et al., 2011; Nunes et al., 2011; Vallejos et al., 2011; Vasconcelos et al., 2011; Xavier & Boss, 2011; WikiAves, 2016; MZUSP), which corroborates the presented migratory pattern."
114,Caprimulgidae,,MGT,,,,,
115,Caprimulgidae,Chordeiles minor,MGT,bacurau-norte-americano,Common Nighthawk,,," breeds in North and Central America and overwinters in South America as far as central Argentina (Sick, 1983; Cleere, 2016). It has many subspecies and one of them, C. m. chapmani, overwinters in central Brazil and northern Argentina (GROMS, 2008). All Brazilian records, including photographic, vocal and collected specimens are restricted to September to April (Albano & Gir�o, 2011; Costa et al., 2011; d�Horta, 2011; WikiAves, 2016, MZUSP, MPEG, MNRJ). However it is important to emphasize that photographic record must be carefully analysed due to the difficulty in distinguishing this species from C. acutipennis."
116,Apodidae,,MGT,,,,,
117,Apodidae,Cypseloides niger,MGT,,,,," breeds in North America and migrates south, sometimes in large flocks, and groups of 300 to 400 individuals have already been recorded in California (Chantler, 1999). Geolocation data showed that the fall migration of C. n. borealis started between September 10th and 19th, that it reached the wintering grounds in Western Amazonia (especially in AM) between September 28th and October 12th, and that it departed from these grounds heading to the breeding sites between May and June (Beason et al., 2012). This is the first piece of evidence of wintering grounds for this species in Brazil, which is why it is considered migratory."
118,Apodidae,Chaetura meridionalis,MGT,andorinh�o-do-temporal,Sick's Swift,,," breeds in Bolivia, Brazil, Paraguay and Argentina, and migrates to Panama, northern Colombia, Venezuela, Suriname and French Guiana during winter. It reaches its breeding site in early September, where it remains until mid-April (Chantler, 1999; del Hoyo et al., 2016b). It breeds in SP in September-March and departs from Atlantic Forest lowlands in southeastern SP in April-August (Aleixo & Galetti, 1997). It also can be seen in RJ, breeding between late August and early September; it departs in March/April. It nests in MT in October and November (Sick, 1997) and it is considered a migrant in RS (Accordi & Hartz, 2013), where there are records of breeding activity from November to January (Belton, 1984). Photographic records suggest breeding activity in CE, BA, MG, RJ, SP, PR, SC and RS between October and January (WikiAves, 2016). Occurrence records are centered in the period of September to April (WikiAves, 2016; MNRJ; MZUSP; MPEG)."
121,Falconidae,,MGT,,,,,
122,Falconidae,Falco peregrinus,MGT,falc�o-peregrino,Peregrine Falcon,,," occurs in all regions of the world and is migratory in only part of its distribution. In Brazil, it occurs as a migrant (White et al., 1994) originating from breeding areas in the Northern Hemisphere. Individuals banded in the USA, Canada and on the islands of Saint Pierre and Miquelon on the Canadian coast mainly between April and October were recovered in 16 Brazilian states between November and March, especially SP, PR and RS (Mestre et al., 2010). This species can be seen along the Amazon River and its main tributaries during the boreal winter from October to May (Stotz et al., 1992; Costa et al., 2011; Melo et al., 2011) and in PA in October, November (Silva, 2011c; MPEG) and March (Silva, 2011b). It was recorded in northern Cant�o State Park/TO in April, when it was probably returning to the Nearctic region for the start of the next breeding season, using the Araguaia River channel as flyway (Pinheiro & Dornas, 2009; Dornas & Pinheiro, 2011). There are also records in November for the region of Banco dos Cajuais/CE-RN (Gir�o & Albano, 2011a), for CE from October to May, for RN and SE from November to March (Sousa, 2011; WikiAves, 2016), in BA from December and January (MZUSP) and for RJ, SP, PR, SC and RS from October to April (Belton, 1984; WikiAves, 2016; MNRJ; MZUSP)."
123,Psittacidae,,MGT,,,,,
